"Zaman damgası","BİL 1016 Bilgisayar Bilimlerine Giriş II  dersini kaç kere aldınız/alıyorsunuz?*","Bu dersi çalışmak için haftada ders dışı ortalama kaç saat ayırıyorsunuz?*
","Bu dersin vize sınavından kaç aldınız?*"
"2025/11/25 4:33:29 ÖS GMT+3","2","0.5","76"
"2025/11/25 4:35:31 ÖS GMT+3","4","0.5","100"
"2025/11/25 4:54:40 ÖS GMT+3","1","2","86"
"2025/11/25 5:04:45 ÖS GMT+3","1","1.0","95"
"2025/11/25 5:32:23 ÖS GMT+3","1","1.0","80"
"2025/11/25 6:26:44 ÖS GMT+3","1","0.5","60"
"2025/11/25 6:29:50 ÖS GMT+3","1","0.5","25"
"2025/11/25 7:28:11 ÖS GMT+3","1","1.0","60"
"2025/11/25 8:43:47 ÖS GMT+3","1","1.0","72"
"2025/11/26 8:09:38 ÖS GMT+3","2","0.5","60"
"2025/11/27 8:01:20 ÖS GMT+3","1","0.5","85"
"2025/11/28 6:00:49 ÖÖ GMT+3","1","2","60"